-,"AC
        Type",AC Type,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln
ACCIDENT DETAILS,Zeppelin L-31 (airship),Zeppelin L-31 (airship)?,19   (passengers:0  crew:19),"October 01, 1916",19   (passengers:0  crew:19),?,0,"Potters Bar, England",Military - German Navy,?,?,Shot down in flames by the British 39th Home Defence Squadron.,2345,1920,?
ACCIDENT DETAILS,Super Zeppelin (airship),Super Zeppelin (airship)?,28   (passengers:?  crew:?),"November 21, 1916",27   (passengers:?  crew:?),?,0,"Mainz, Germany",Military - German Army,?,?,Crashed in a storm.,?,1920,?
ACCIDENT DETAILS,Zeppelin L-34 (airship),Zeppelin L-34 (airship)?,20   (passengers:?  crew:?),"November 28, 1916",20   (passengers:?  crew:?),?,0,"Off West Hartlepool, England",Military - German Navy,?,?,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,2345,1920,?
ACCIDENT DETAILS,Airship,Airship?,20   (passengers:?  crew:?),"March 04, 1917",20   (passengers:?  crew:?),?,0,"Near Gent, Belgium",Military - German Army,?,?,Caught fire and crashed.,?,1920,?
ACCIDENT DETAILS,Schutte-Lanz S-L-9 (airship),Schutte-Lanz S-L-9 (airship)?,23   (passengers:?  crew:?),"March 30, 1917",23   (passengers:?  crew:?),?,0,Off Northern Germany,Military - German Navy,?,?,Struck by lightning and crashed into the Baltic Sea.,?,1920,?
ACCIDENT DETAILS,Zeppelin L-22 (airship),Zeppelin L-22 (airship)?,21   (passengers:?  crew:?),"May 14, 1917",21   (passengers:?  crew:?),?,0,"Near Texel Island, North Sea",Military - German Navy,?,?,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",0515,1920,?
ACCIDENT DETAILS,Zeppelin L-43 (airship),Zeppelin L-43 (airship)?,24   (passengers:?  crew:?),"June 14, 1917",24   (passengers:?  crew:?),?,0,"Off Vlieland Island, North Sea",Military - German Navy,?,?,Shot down by British aircraft.,0845,1920,?
ACCIDENT DETAILS,Zepplin L-48 (air ship),Zepplin L-48 (air ship)L-48,16   (passengers:?  crew:?),"June 17, 1917",14   (passengers:?  crew:?),?,0,"Near Yarmouth, England",?,L-48,?,Shot down by aircraft.,?,1920,?
ACCIDENT DETAILS,Zeppelin L-23 (airship),Zeppelin L-23 (airship)?,18   (passengers:?  crew:?),"August 21, 1917",18   (passengers:?  crew:?),?,0,Off western Denmark,Military - German Navy,?,?,Shot down by British aircraft.,0700,1920,?
ACCIDENT DETAILS,Zeppelin L-44 (airship),Zeppelin L-44 (airship)?,18   (passengers:?  crew:?),"October 20, 1917",18   (passengers:?  crew:?),?,0,"Near Luneville, France",Military - German Navy,?,?,Shot down by French anti-aircraft fire.,0745,1920,?
ACCIDENT DETAILS,Zeppelin L-59 (airship),Zeppelin L-59 (airship)?,23   (passengers:?  crew:?),"April 07, 1918",23   (passengers:?  crew:?),?,0,Over the Mediterranean,Military - German Navy,?,?,Exploded and crashed into the sea off the southern coast of Italy.,2130,1920,?
ACCIDENT DETAILS,Zeppelin L-70 (airship),Zeppelin L-70 (airship)?,22   (passengers:?  crew:?),"August 05, 1918",22   (passengers:?  crew:?),?,0,"Off Helgoland Island, Germany",Military - German Navy,?,?,"Shot down by British aircraft crashing from a height of 17,000 ft.",?,1920,?
ACCIDENT DETAILS,Zeppelin L-53 (airship),Zeppelin L-53 (airship)?,19   (passengers:?  crew:?),"August 11, 1918",19   (passengers:?  crew:?),?,0,"Ameland Island, North Sea",Military - German Navy,?,?,Shot down by british aircraft.,1000,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-497,1   (passengers:0  crew:1),"December 16, 1918",1   (passengers:0  crew:1),?,0,"Elizabeth, New Jersey",US Aerial Mail Service,97,?,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-461,1   (passengers:0  crew:1),"May 25, 1919",1   (passengers:0  crew:1),?,0,"Cleveland, Ohio",US Aerial Mail Service,61,?,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-482,1   (passengers:0  crew:1),"July 19, 1919",1   (passengers:0  crew:1),?,0,"Dix Run, Pennsylvania",US Aerial Mail Service,82,?,The mail plane crashed under unknown circumstances.,?,1920,?
ACCIDENT DETAILS,FD Type Dirigible,FD Type Dirigible?,?   (passengers:?  crew:?),"July 21, 1919",3   (passengers:2  crew:1),?,10,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,?,Shuttle,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",1655,1920,?
ACCIDENT DETAILS,Caproni Ca.48,Caproni Ca.48?,14   (passengers:12  crew:2),"August 02, 1919",14   (passengers:12  crew:2),?,0,"Verona, Italy",Caproni Company,?,Venice  Taliedo,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4?,1   (passengers:0  crew:1),"October 02, 1919",1   (passengers:0  crew:1),?,0,"Newcastle, England",Aircraft Transport and Travel,?,?,?,?,1920,?
ACCIDENT DETAILS,Curtiss R-4LM,Curtiss R-4LM32,1   (passengers:0  crew:1),"October 14, 1919",1   (passengers:0  crew:1),?,0,"Cantonsville, Maryland",US Aerial Mail Service,32,?,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4G-EAHG,0   (passengers:0  crew:1),"October 20, 1919",0   (passengers:0  crew:0),?,0,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,G-EAHG,?,Crashed into the sea while attempting to land in fog.,?,1920,?
ACCIDENT DETAILS,De Havilland DH.4,De Havilland DH.477,1   (passengers:0  crew:1),"October 30, 1919",1   (passengers:0  crew:1),?,0,"Long Valley, New Jersey",US Aerial Mail Service,77,?,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",?,1920,77
ACCIDENT DETAILS,de Havilland DH-4,de Havilland DH-4G-EAHF,1   (passengers:1  crew:1),"December 11, 1919",1   (passengers:1  crew:1),?,0,"Catherham, Surrey, UK",Aircraft Travel Transport,G-EAHF,Paris - Hounslow,Crashed in a field while attemptting to land.,?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-465,1   (passengers:0  crew:1),"March 10, 1920",1   (passengers:0  crew:1),?,0,"New Paris, Indiana",US Aerial Mail Service,65,?,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-472,1   (passengers:0  crew:1),"March 30, 1920",1   (passengers:0  crew:1),?,0,"Newark, New Jersey",US Aerial Mail Service,72,Washington - Newark,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,?,1920,?
ACCIDENT DETAILS,Curtiss R-4LM,Curtiss R-4LM49,2   (passengers:1  crew:1),"April 10, 1920",1   (passengers:0  crew:1),?,0,"Newark, New Jersey",US Aerial Mail Service,49,?,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,?,1920,?
ACCIDENT DETAILS,Curtiss JN-4H,Curtiss JN-4H44,2   (passengers:1  crew:1),"April 11, 1920",1   (passengers:0  crew:1),?,0,"Heller Field, New Jersey",US Aerial Mail Service,44,?,The aircraft crashed while on approach for unknown reasons.,?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-479,2   (passengers:1  crew:1),"May 12, 1920",1   (passengers:1  crew:0),?,0,"Oskaloosa, Iowa",US Aerial Mail Service,79,?,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4204,1   (passengers:0  crew:1),"June 06, 1920",1   (passengers:0  crew:1),?,0,"Cleveland, Ohio",US Aerial Mail Service,204,?,The aircraft suffered engine failure and crashed shortly after taking off.,?,1920,?
ACCIDENT DETAILS,Farman F-40,Farman F-40?,1   (passengers:1  crew:1),"July 20, 1920",1   (passengers:1  crew:1),?,0,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,?,?,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,?,1920,?
ACCIDENT DETAILS,Armstrong-Whitworth F-K-8,Armstrong-Whitworth F-K-8G-EALW,1   (passengers:0  crew:1),"August 16, 1920",1   (passengers:0  crew:1),?,0,"Bedford, England",By Air,G-EALW,?,The plane crashed during a cargo flight under unknown circumstances.,?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4317,1   (passengers:0  crew:1),"August 16, 1920",1   (passengers:0  crew:1),?,0,"College Park, Maryland",US Aerial Mail Service,317,?,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",?,1920,?
ACCIDENT DETAILS,Junkers JL-6,Junkers JL-6305,2   (passengers:0  crew:2),"September 01, 1920",2   (passengers:0  crew:2),?,0,"Morristown, New Jersey",US Aerial Mail Service,305,?,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",?,1920,?
ACCIDENT DETAILS,Junkers F-13,Junkers F-13308,2   (passengers:?  crew:?),"September 15, 1920",2   (passengers:?  crew:?),?,0,"Pemberville, Ohio",US Aerial Mail Service,308,?,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4316,1   (passengers:0  crew:1),"September 27, 1920",1   (passengers:0  crew:1),?,0,"Hillersburg, Pennsylvania",US Aerial Mail Service,316,?,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,?,1920,?
ACCIDENT DETAILS,Salmson 2-A-2,Salmson 2-A-2F-ALAI,2   (passengers:1  crew:1),"October 02, 1920",2   (passengers:1  crew:1),?,0,"Off Port Vendres, France",Latecoere Airlines,F-ALAI,?,Crashed into the Mediterranean while on a mail flight.,?,1920,31
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALTA,2   (passengers:1  crew:1),"October 05, 1920",2   (passengers:1  crew:1),?,0,"Valencia, Spain",Latecoere Airlines,F-ALTA,?,While on a mail flight the plane crashed while attempting to land.,?,1920,20
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-476,1   (passengers:0  crew:1),"October 15, 1920",1   (passengers:0  crew:1),?,0,"Batavia, Illinois",US Aerial Mail Service,76,?,While attempting to land in fog the aircraft hit an obstruction and crashed.,?,1920,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4?,1   (passengers:0  crew:1),"November 07, 1920",1   (passengers:0  crew:1),?,0,"Tie Siding, Wyoming",US Aerial Mail Service,?,?,The aircraft crashed into a mountain in poor weather condtions.,?,1920,178
ACCIDENT DETAILS,Handley Page HP-16,Handley Page HP-16G-EAMA,8   (passengers:6  crew:2),"December 14, 1920",4   (passengers:2  crew:2),?,0,"London, England",Handley Page Transport,G-EAMA,London - Paris,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,1215,1920,HP-25
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALBO,1   (passengers:0  crew:1),"December 24, 1920",1   (passengers:0  crew:1),?,0,"Barcelona, Spain",Aeropostale,F-ALBO,?,The aircraft stalled and crashed when an engine failed.,?,1920,57
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4130,1   (passengers:0  crew:1),"February 03, 1921",1   (passengers:0  crew:1),?,0,"Mendotta, Minnisota",US Aerial Mail Service,130,?,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,?,1921,?
ACCIDENT DETAILS,Junkers F-13,Junkers F-13301,3   (passengers:0  crew:3),"February 09, 1921",3   (passengers:0  crew:3),?,0,"La Crosse, Wisconsin",US Aerial Mail Service,301,?,Crashed for unknown reasons. Both pilots and the mechanic were killed.,?,1921,?
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALBA,2   (passengers:0  crew:2),"February 15, 1921",2   (passengers:0  crew:2),?,0,Off Gibraltar,Aeropostale,F-ALBA,?,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,?,1921,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-467,1   (passengers:0  crew:1),"February 22, 1921",1   (passengers:0  crew:1),?,0,"Elko, Nevada",US Aerial Mail Service,67,?,"Shortly after taking off, the aircraft stalled and crashed .",?,1921,?
ACCIDENT DETAILS,Avro 504,Avro 504H3021,2   (passengers:0  crew:0),"April 06, 1921",2   (passengers:0  crew:0),?,0,"Point Cook, Australia",Military - Royal Australian Air Force,H3021,?,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",?,1921,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4160,1   (passengers:0  crew:1),"April 21, 1921",1   (passengers:0  crew:1),?,0,"Mitchel Field, NY",US Aerial Mail Service,160,?,After taking off the aircraft stalled and crashed.,?,1921,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4196,1   (passengers:0  crew:1),"April 29, 1921",1   (passengers:0  crew:1),?,0,"Cleveland, Ohio",US Aerial Mail Service,196,?,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",?,1921,?
ACCIDENT DETAILS,"De Havilland DH-4
De Havilland DH-4",De Havilland DH-4,1   (passengers:0  crew:1),"May 17, 1921",1   (passengers:0  crew:1),?,0,"Rock Springs, Wyoming",US Aerial Mail Service,176,?,Crashed while attempting to land.,?,1921,?
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALBI,2   (passengers:?  crew:?),"August 14, 1921",2   (passengers:?  crew:?),?,0,"Toulouse, France",Aeropostale,F-ALBI,?,?,?,1921,?
ACCIDENT DETAILS,Royal Airship Works ZR-2 (airship),Royal Airship Works ZR-2 (airship)R-38,49   (passengers:0  crew:49),"August 24, 1921",43   (passengers:0  crew:43),?,1,"River Humber, England",Military - Royal Airship Works,R-38,?,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude.",1740,1921,R-38
ACCIDENT DETAILS,Potez IX,Potez IXF-ADCD,5   (passengers:4  crew:1),"September 06, 1921",5   (passengers:4  crew:1),?,0,"Paris, France",Franco-Roumaine,F-ADCD,Warsaw - Prague - Strasbourg - Paris,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,?,1921,160
ACCIDENT DETAILS,Bristol 28 Tourer,Bristol 28 TourerG-AUDI,2   (passengers:0  crew:2),"December 05, 1921",2   (passengers:0  crew:2),?,0,"Near Murchinson River, Australia",West Australian Airways,G-AUDI,Geraldton - Derby,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,?,1921,6116
ACCIDENT DETAILS,Handley Page O/10,Handley Page O/10G-EATN,5   (passengers:4  crew:1),"January 14, 1922",5   (passengers:4  crew:1),?,5,"Paris, France",Handley Page Transport,G-EATN,?,Crashed at Le Bourget field.,?,1922,HP-43
ACCIDENT DETAILS,Dirigible Roma (airship),Dirigible Roma (airship)?,45   (passengers:?  crew:?),"February 21, 1922",34   (passengers:?  crew:?),?,0,"Near Norfolk, Virginia",Military - U.S. Army Air Service,?,?,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,?,1922,?
ACCIDENT DETAILS,Aeromarine Model 85 (flying boat),Aeromarine Model 85 (flying boat)?,6   (passengers:5  crew:1),"March 22, 1922",5   (passengers:5  crew:0),?,0,North Atlantic Ocean,Aero Limited,?,Miami - Bimini,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",1140,1922,?
ACCIDENT DETAILS,de Havilland DH-18 / Farman F-60 Goliath,de Havilland DH-18 / Farman F-60 GoliathG-EAOW/FGEAD,7   (passengers:5  crew:2),"April 07, 1922",7   (passengers:5  crew:2),?,0,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,G-EAOW/FGEAD,Croydon - Le Bourget,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1315,1922,4
ACCIDENT DETAILS,?,??,17   (passengers:0  crew:17),"April 08, 1922",17   (passengers:0  crew:17),?,0,"Pao Ting Fou, China",?,?,Test,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,?,1922,?
ACCIDENT DETAILS,Bleriot Spad 27,Bleriot Spad 27F-ACMH,3   (passengers:2  crew:1),"June 03, 1922",3   (passengers:2  crew:1),?,0,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,F-ACMH,Croydon - Paris,Went down into the English Channel while en route.,?,1922,555
ACCIDENT DETAILS,LVG C VI,LVG C VI?,3   (passengers:2  crew:1),"July 04, 1922",2   (passengers:1  crew:1),?,0,"Fuhlsbuttel, Germany",?,?,Hamburg - Berlin,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",?,1922,?
ACCIDENT DETAILS,Potez 29,Potez 29F-FREI,5   (passengers:4  crew:1),"July 16, 1922",5   (passengers:4  crew:1),?,0,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,F-FREI,Strasbourg - Paris,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,1645,1922,25
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALVE,3   (passengers:2  crew:1),"July 26, 1922",3   (passengers:2  crew:1),?,0,"Cadix, Spain",Grands Express Aeriens,F-ALVE,?,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",?,1922,117
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4227,1   (passengers:0  crew:1),"September 07, 1922",1   (passengers:0  crew:1),?,0,"Indianapolis, Indiana",US Aerial Mail Service,227,?,The plane stalled shortly after takeoff and crashed.,?,1922,?
ACCIDENT DETAILS,de Havilland DH-9,de Havilland DH-9G-EAYT,4   (passengers:3  crew:1),"October 02, 1922",4   (passengers:3  crew:1),?,0,"Venice, Italy",de Havilland Air Service,G-EAYT,Venice - London,Shortly after taking off the plane crashed into the sea and sank.,?,1922,14
ACCIDENT DETAILS,Breguet 14,Breguet 14?,2   (passengers:1  crew:1),"October 25, 1922",2   (passengers:1  crew:1),?,0,"Larache, Morocco",Grands Express Aeriens,?,?,Crashed under unknown circumstances.,?,1922,?
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALNA,1   (passengers:0  crew:1),"December 03, 1922",1   (passengers:0  crew:1),?,0,"Fez, Morocco",Grands Express Aeriens,F-ALNA,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,?,1922,14
ACCIDENT DETAILS,Lioré-et-Olivier H-13,Lioré-et-Olivier H-13F-AEIB,4   (passengers:2  crew:2),"January 10, 1923",3   (passengers:1  crew:2),?,0,"Ajaccio, France",Amee de l'Air,F-AEIB,?,The plane crashed mid-air due to a structural failure of the tail.,?,1923,4
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALJU,1   (passengers:0  crew:1),"January 17, 1923",1   (passengers:0  crew:1),?,0,"Barcelona, Spain",Grands Express Aeriens,F-ALJU,?,Crashed into a mountain during a snowstorm.,?,1923,6083-130
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4223,1   (passengers:0  crew:1),"January 18, 1923",1   (passengers:0  crew:1),?,0,"Cheyenne, Wyoming",US Aerial Mail Service,223,?,Crashed during a mail flight.,?,1923,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4291,1   (passengers:0  crew:1),"February 26, 1923",1   (passengers:0  crew:1),?,0,"Meadville, Pennsylvania",US Aerial Mail Service,291,?,The pilot lost control of the aircraft  while on approach in poor weather conditions.,?,1923,?
ACCIDENT DETAILS,Farman F-60 Goliath,Farman F-60 GoliathF-AEBY,6   (passengers:4  crew:2),"May 14, 1923",6   (passengers:4  crew:2),?,0,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),F-AEBY,Paris - London,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",1342,1923,15
ACCIDENT DETAILS,Farman F.60 Goliath,Farman F.60 GoliathF-AECB,11   (passengers:9  crew:2),"August 27, 1923",1   (passengers:1  crew:0),?,0,"East Mallling, United Kingdom",Air Union,F-AECB,Paris - Berck-sur-Mer - Croydon,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",1730,1923,4
ACCIDENT DETAILS,Blériot Spad 46,Blériot Spad 46F-AEGN,2   (passengers:1  crew:1),"August 27, 1923",2   (passengers:1  crew:1),?,0,"Bucharest, Romania",Campagnie France Roumaine,F-AEGN,?,Crashed while on approach to Bucharesst.,?,1923,28
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4283,1   (passengers:0  crew:1),"September 07, 1923",1   (passengers:0  crew:1),?,0,"Colton, Ohio",US Aerial Mail Service,283,?,Crashed during an emergency landing attempt.,?,1923,?
ACCIDENT DETAILS,de Havilland DH-34,de Havilland DH-34G-EBBS,5   (passengers:3  crew:2),"September 14, 1923",5   (passengers:3  crew:2),?,0,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,G-EBBS,Croydon - Manchester,Crashed while attempting a forced landing after encountering heavy rain.,c 18:00,1923,29
ACCIDENT DETAILS,Junkers F-13,Junkers F-13D-257,5   (passengers:2  crew:3),"November 18, 1923",3   (passengers:1  crew:2),?,0,Russia,CCCP,D-257,?,Crashed during a training flight.,?,1923,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4318,1   (passengers:0  crew:1),"December 06, 1923",1   (passengers:0  crew:1),?,0,"Castalia, Ohio",US Aerial Mail Service,318,?,Crashed under unknown circumstances.,?,1923,?
ACCIDENT DETAILS,Zeppelin Dixmunde (airship),Zeppelin Dixmunde (airship)L-72,52   (passengers:?  crew:?),"December 23, 1923",52   (passengers:?  crew:?),?,0,Over the Mediterranean Sea,Military - French Navy,L-72,Toulon - Algiers,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",c 02:30,1923,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4315,1   (passengers:0  crew:1),"December 24, 1923",1   (passengers:0  crew:1),?,0,"Egbert, WY",US Aerial Mail Service,315,?,Crashed into a montain in poor weather conditions.,?,1923,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4327,1   (passengers:0  crew:1),"March 07, 1924",1   (passengers:0  crew:1),?,0,"Grampian, Pennsylvania",US Aerial Mail Service,327,?,Crashed during a snowstorm.,?,1924,?
