-,AC Type,AC Type.1,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln,Operator Country,rule_based_category,processed_summary,x,y,kmeans_cluster,hybrid_category,kmeans_cluster_interpretation,category_id
ACCIDENT DETAILS,Zeppelin L-44 (airship),Zeppelin L-44 (airship)?,18   (passengers:?  crew:?),"October 20, 1917",18   (passengers:?  crew:?),?,0,"Near Luneville, France",Military - German Navy,?,?,Shot down by French anti-aircraft fire.,0745,1920,?,,Shot down/Military action,shot french anti fire,0.07224445902572996,-0.07207302810609853,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Zeppelin L-59 (airship),Zeppelin L-59 (airship)?,23   (passengers:?  crew:?),"April 07, 1918",23   (passengers:?  crew:?),?,0,Over the Mediterranean,Military - German Navy,?,?,Exploded and crashed into the sea off the southern coast of Italy.,2130,1920,?,,Explosion/Fire,exploded sea southern coast italy,0.06051059923437943,-0.028209124409442655,3,Explosion/Fire,Explosion/Fire,3
ACCIDENT DETAILS,Zeppelin L-70 (airship),Zeppelin L-70 (airship)?,22   (passengers:?  crew:?),"August 05, 1918",22   (passengers:?  crew:?),?,0,"Off Helgoland Island, Germany",Military - German Navy,?,?,"Shot down by British aircraft crashing from a height of 17,000 ft.",?,1920,?,,Shot down/Military action,shot british crashing height,0.03929832321701705,-0.021127441325529215,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Zeppelin L-53 (airship),Zeppelin L-53 (airship)?,19   (passengers:?  crew:?),"August 11, 1918",19   (passengers:?  crew:?),?,0,"Ameland Island, North Sea",Military - German Navy,?,?,Shot down by british aircraft.,1000,1920,?,,Shot down/Military action,shot british,0.022604445804871677,-0.014154733217666679,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-497,1   (passengers:0  crew:1),"December 16, 1918",1   (passengers:0  crew:1),?,0,"Elizabeth, New Jersey",US Aerial Mail Service,97,?,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,?,1920,?,,Pilot error,carl smith killed mail foot foot land reposition wind shifted lost control dived ground,0.18844340888467587,-0.03769462296114211,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-461,1   (passengers:0  crew:1),"May 25, 1919",1   (passengers:0  crew:1),?,0,"Cleveland, Ohio",US Aerial Mail Service,61,?,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,?,1920,?,,Explosion/Fire,caught fire midair leaped death dive,0.08498527420440556,-0.08507586948896598,3,Explosion/Fire,Explosion/Fire,3
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-482,1   (passengers:0  crew:1),"July 19, 1919",1   (passengers:0  crew:1),?,0,"Dix Run, Pennsylvania",US Aerial Mail Service,82,?,The mail plane crashed under unknown circumstances.,?,1920,?,,Unclear cause,mail unknown circumstance,0.04737475573096904,-0.0036872627588480514,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,FD Type Dirigible,FD Type Dirigible?,?   (passengers:?  crew:?),"July 21, 1919",3   (passengers:2  crew:1),?,10,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,?,Shuttle,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",1655,1920,?,,Explosion/Fire,dirigible cruising caught fire illinois trust saving building chicago transporting people grant park white amusement park member passenger bank employee killed,0.08335379596674998,-0.06080409348920205,3,Explosion/Fire,Explosion/Fire,3
ACCIDENT DETAILS,Caproni Ca.48,Caproni Ca.48?,14   (passengers:12  crew:2),"August 02, 1919",14   (passengers:12  crew:2),?,0,"Verona, Italy",Caproni Company,?,Venice  Taliedo,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,?,1920,?,,Unclear cause,passing verona wing flutter collapsed source differ number death reporting,0.033649043965066835,-0.024504938982005613,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Curtiss R-4LM,Curtiss R-4LM32,1   (passengers:0  crew:1),"October 14, 1919",1   (passengers:0  crew:1),?,0,"Cantonsville, Maryland",US Aerial Mail Service,32,?,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",?,1920,?,,Shot down/Military action,performing mail baltimore fog hit tree top wood,0.12181427894273177,0.03519185149776319,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4G-EAHG,0   (passengers:0  crew:1),"October 20, 1919",0   (passengers:0  crew:0),?,0,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,G-EAHG,?,Crashed into the sea while attempting to land in fog.,?,1920,?,,Pilot error,sea land fog,0.20022203838939873,0.038821837202062906,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,De Havilland DH.4,De Havilland DH.477,1   (passengers:0  crew:1),"October 30, 1919",1   (passengers:0  crew:1),?,0,"Long Valley, New Jersey",US Aerial Mail Service,77,?,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",?,1920,77,,Weather-related,mail new york encountered weather condition reduced altitude visual contact ground make emergency landing valley newark hit ground,0.2617303112116638,0.026906653182072995,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,de Havilland DH-4,de Havilland DH-4G-EAHF,1   (passengers:1  crew:1),"December 11, 1919",1   (passengers:1  crew:1),?,0,"Catherham, Surrey, UK",Aircraft Travel Transport,G-EAHF,Paris - Hounslow,Crashed in a field while attemptting to land.,?,1920,?,,Pilot error,field attemptting land,0.15188425670946595,-0.019300741943825445,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-465,1   (passengers:0  crew:1),"March 10, 1920",1   (passengers:0  crew:1),?,0,"New Paris, Indiana",US Aerial Mail Service,65,?,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",?,1920,?,,Shot down/Military action,mail hit tree fog wooded,0.15367880857155938,0.041280143767290924,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-472,1   (passengers:0  crew:1),"March 30, 1920",1   (passengers:0  crew:1),?,0,"Newark, New Jersey",US Aerial Mail Service,72,Washington - Newark,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,?,1920,?,,Pilot error,sherlock killed mail chimney land heller field poor visibility,0.2206876709989281,0.0879815289702747,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Curtiss R-4LM,Curtiss R-4LM49,2   (passengers:1  crew:1),"April 10, 1920",1   (passengers:0  crew:1),?,0,"Newark, New Jersey",US Aerial Mail Service,49,?,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,?,1920,?,,Shot down/Military action,fire erupted make emergency landing,0.1634850182967412,-0.16742059305958715,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Curtiss JN-4H,Curtiss JN-4H44,2   (passengers:1  crew:1),"April 11, 1920",1   (passengers:0  crew:1),?,0,"Heller Field, New Jersey",US Aerial Mail Service,44,?,The aircraft crashed while on approach for unknown reasons.,?,1920,?,,Shot down/Military action,unknown reason,0.052740420617530925,-0.017997732772890365,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-479,2   (passengers:1  crew:1),"May 12, 1920",1   (passengers:1  crew:0),?,0,"Oskaloosa, Iowa",US Aerial Mail Service,79,?,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",?,1920,?,,Weather-related,worsening weather condition lost sense orientation field,0.21017616317473556,0.08831464377591548,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4204,1   (passengers:0  crew:1),"June 06, 1920",1   (passengers:0  crew:1),?,0,"Cleveland, Ohio",US Aerial Mail Service,204,?,The aircraft suffered engine failure and crashed shortly after taking off.,?,1920,?,,Mechanical failure,suffered engine failure,0.22636765955231114,-0.2863494127147061,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,Farman F-40,Farman F-40?,1   (passengers:1  crew:1),"July 20, 1920",1   (passengers:1  crew:1),?,0,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,?,?,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,?,1920,?,,Mechanical failure,engine failure engine failure fuel exhaustion,0.286817500418508,-0.3635422168032298,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,Armstrong-Whitworth F-K-8,Armstrong-Whitworth F-K-8G-EALW,1   (passengers:0  crew:1),"August 16, 1920",1   (passengers:0  crew:1),?,0,"Bedford, England",By Air,G-EALW,?,The plane crashed during a cargo flight under unknown circumstances.,?,1920,?,,Cargo mishandling,cargo unknown circumstance,0.123794064375292,-0.006672424704191684,0,Cargo mishandling,Cargo mishandling,0
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4317,1   (passengers:0  crew:1),"August 16, 1920",1   (passengers:0  crew:1),?,0,"College Park, Maryland",US Aerial Mail Service,317,?,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",?,1920,?,,Weather-related,approaching poor visibility land hit radio mast flame,0.20817147852576742,0.10264955728664338,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Junkers JL-6,Junkers JL-6305,2   (passengers:0  crew:2),"September 01, 1920",2   (passengers:0  crew:2),?,0,"Morristown, New Jersey",US Aerial Mail Service,305,?,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",?,1920,?,,Shot down/Military action,mail control experiencing fire,0.13792900407974618,-0.12084135499120294,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Junkers F-13,Junkers F-13308,2   (passengers:?  crew:?),"September 15, 1920",2   (passengers:?  crew:?),?,0,"Pemberville, Ohio",US Aerial Mail Service,308,?,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,?,1920,?,,Explosion/Fire,make emergency landing engine caught fire,0.30227943134001195,-0.34663490853738355,3,Explosion/Fire,Explosion/Fire,3
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4316,1   (passengers:0  crew:1),"September 27, 1920",1   (passengers:0  crew:1),?,0,"Hillersburg, Pennsylvania",US Aerial Mail Service,316,?,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,?,1920,?,,Weather-related,struck power line flame flying low altitude poor visibility,0.29190507593430925,0.09989620311032457,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Salmson 2-A-2,Salmson 2-A-2F-ALAI,2   (passengers:1  crew:1),"October 02, 1920",2   (passengers:1  crew:1),?,0,"Off Port Vendres, France",Latecoere Airlines,F-ALAI,?,Crashed into the Mediterranean while on a mail flight.,?,1920,31,,Unclear cause,mediterranean mail,0.021354021375234147,0.0023223444173951857,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALTA,2   (passengers:1  crew:1),"October 05, 1920",2   (passengers:1  crew:1),?,0,"Valencia, Spain",Latecoere Airlines,F-ALTA,?,While on a mail flight the plane crashed while attempting to land.,?,1920,20,,Pilot error,mail land,0.11117689484781157,0.022129550612872254,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-476,1   (passengers:0  crew:1),"October 15, 1920",1   (passengers:0  crew:1),?,0,"Batavia, Illinois",US Aerial Mail Service,76,?,While attempting to land in fog the aircraft hit an obstruction and crashed.,?,1920,?,,Pilot error,land fog hit obstruction,0.15388482634834158,0.05777213885857201,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4?,1   (passengers:0  crew:1),"November 07, 1920",1   (passengers:0  crew:1),?,0,"Tie Siding, Wyoming",US Aerial Mail Service,?,?,The aircraft crashed into a mountain in poor weather condtions.,?,1920,178,,Terrain collision,mountain poor weather condtions,0.28080169158159185,0.41221898971809773,9,Terrain collision,Terrain collision,9
ACCIDENT DETAILS,Handley Page HP-16,Handley Page HP-16G-EAMA,8   (passengers:6  crew:2),"December 14, 1920",4   (passengers:2  crew:2),?,0,"London, England",Handley Page Transport,G-EAMA,London - Paris,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,1215,1920,HP-25,,Pilot error,failed gain altitude criclklewood tree house error towards hill unfavorable wind condition fog commercial air disaster passenger fatality regularly scheduled service,0.20023730538635154,0.01329465772879539,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALBO,1   (passengers:0  crew:1),"December 24, 1920",1   (passengers:0  crew:1),?,0,"Barcelona, Spain",Aeropostale,F-ALBO,?,The aircraft stalled and crashed when an engine failed.,?,1920,57,,Mechanical failure,stalled engine failed,0.24702233791464567,-0.30993631381074055,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4130,1   (passengers:0  crew:1),"February 03, 1921",1   (passengers:0  crew:1),?,0,"Mendotta, Minnisota",US Aerial Mail Service,130,?,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,?,1921,?,,Control loss,takeoff minneapolis world chamberlain field engine failed lost altitude field,0.2906841493001945,-0.2720852628975927,2,Control loss,Control loss,2
ACCIDENT DETAILS,Junkers F-13,Junkers F-13301,3   (passengers:0  crew:3),"February 09, 1921",3   (passengers:0  crew:3),?,0,"La Crosse, Wisconsin",US Aerial Mail Service,301,?,Crashed for unknown reasons. Both pilots and the mechanic were killed.,?,1921,?,,Unclear cause,unknown reason pilot mechanic killed,0.08239269143094671,-0.02678565972031538,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ALBA,2   (passengers:0  crew:2),"February 15, 1921",2   (passengers:0  crew:2),?,0,Off Gibraltar,Aeropostale,F-ALBA,?,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,?,1921,?,,Weather-related,mail fligh encountered poor weather condition ocean gibraltar body recovered,0.18127182612888243,0.1552200565203278,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-467,1   (passengers:0  crew:1),"February 22, 1921",1   (passengers:0  crew:1),?,0,"Elko, Nevada",US Aerial Mail Service,67,?,"Shortly after taking off, the aircraft stalled and crashed .",?,1921,?,,Shot down/Military action,stalled,0.07592033901761545,-0.0792842594186137,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Avro 504,Avro 504H3021,2   (passengers:0  crew:0),"April 06, 1921",2   (passengers:0  crew:0),?,0,"Point Cook, Australia",Military - Royal Australian Air Force,H3021,?,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",?,1921,?,,Explosion/Fire,training dove ground exploded flame,0.0881593111886469,-0.031094307628732273,3,Explosion/Fire,Explosion/Fire,3
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4160,1   (passengers:0  crew:1),"April 21, 1921",1   (passengers:0  crew:1),?,0,"Mitchel Field, NY",US Aerial Mail Service,160,?,After taking off the aircraft stalled and crashed.,?,1921,?,,Shot down/Military action,stalled,0.07592033901761545,-0.0792842594186137,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4196,1   (passengers:0  crew:1),"April 29, 1921",1   (passengers:0  crew:1),?,0,"Cleveland, Ohio",US Aerial Mail Service,196,?,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",?,1921,?,,Weather-related,field minute scheduled arrival cleveland weather poor fog,0.2402005843927251,0.16891458993071007,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,"De Havilland DH-4
De Havilland DH-4",De Havilland DH-4,1   (passengers:0  crew:1),"May 17, 1921",1   (passengers:0  crew:1),?,0,"Rock Springs, Wyoming",US Aerial Mail Service,176,?,Crashed while attempting to land.,?,1921,?,,Pilot error,land,0.16377693345234867,0.02856031467382555,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Royal Airship Works ZR-2 (airship),Royal Airship Works ZR-2 (airship)R-38,49   (passengers:0  crew:49),"August 24, 1921",43   (passengers:0  crew:43),?,1,"River Humber, England",Military - Royal Airship Works,R-38,?,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude.",1740,1921,R-38,Argentina,Shot down/Military action,structural failure followed explosion fire attributed faulty design test handed navy thirty british american board survivor british american fatality included designer charles campbell copied captured german design intended high altitude therefore skeleton bit weaker overstressed mph low altitude,0.10458868559297614,-0.04741446104454792,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Potez IX,Potez IXF-ADCD,5   (passengers:4  crew:1),"September 06, 1921",5   (passengers:4  crew:1),?,0,"Paris, France",Franco-Roumaine,F-ADCD,Warsaw - Prague - Strasbourg - Paris,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,?,1921,160,,Shot down/Military action,bourget aborted landing,0.10170757427471303,-0.07467218298172099,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Bristol 28 Tourer,Bristol 28 TourerG-AUDI,2   (passengers:0  crew:2),"December 05, 1921",2   (passengers:0  crew:2),?,0,"Near Murchinson River, Australia",West Australian Airways,G-AUDI,Geraldton - Derby,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,?,1921,6116,,Unclear cause,geraldton near murchinson river considered commercial australila,0.043443582337415694,-0.0036713450503735885,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Handley Page O/10,Handley Page O/10G-EATN,5   (passengers:4  crew:1),"January 14, 1922",5   (passengers:4  crew:1),?,5,"Paris, France",Handley Page Transport,G-EATN,?,Crashed at Le Bourget field.,?,1922,HP-43,,Unclear cause,bourget field,0.06602316444200056,-0.046103455727940765,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Dirigible Roma (airship),Dirigible Roma (airship)?,45   (passengers:?  crew:?),"February 21, 1922",34   (passengers:?  crew:?),?,0,"Near Norfolk, Virginia",Military - U.S. Army Air Service,?,?,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,?,1922,?,,Mechanical failure,height experiencing control problem malfunctioning control,0.10689013871608481,-0.08601377510252742,6,Mechanical failure,Mechanical failure,6
